"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"tfzrnypcbxb","ProfitCLUB Campbell",1274891648000,1295404200000,37.321762,-121.979163,"ActionCOACH Office","San Jose"
"ctdmnynjbdc","ProfitCLUB - Build Your Business Using a Proven System for Results",1273463643000,1277256600000,37.321762,-121.979163,"ActionCOACH Office","San Jose"
"15142386","NEW DATE, NEW LOCATION: Time Traveler's Wife - Book Club & Happy Hour Discussion",1287368755000,1306286100000,37.317734,-121.949455,"Chevy's Fresh Mex","San Jose"
"16615821","phoneGap Ecosystem",1298057364000,1.307583e+12,37.376377,-121.922745,"PayPal (Town Hall Building)","San Jose"
"16919353","Sencha Touch BYOL Workshop",1300135285000,1301619600000,37.376377,-121.922745,"PayPal (Town Hall Building)","San Jose"
"103475932","Park play",1360237442000,1362938400000,37.262466,-121.919035,"Butcher Park","San Jose"
"10783453","Walk Coyote Creek Trail",1246493076000,1251068400000,37.392082,-121.886147,"Coyote Creek Trail","San Jose"
"qkdncdyqmbtb","Introduction to Nature Awarness",1344815062000,1347728400000,37.392082,-121.886147,"Coyote Creek Trail","San Jose"
"13012813","Tripoley - $5 Antee",1269756870000,1272763800000,37.285663,-121.827793,"Debbie C.","San Jose"
"15272966","Pulp Fiction Vixons - December Festival of Lights and Underwear",1288383526000,1291690800000,37.343498,-121.888702,"Pam's Home","San Jose"
"13603495","Time for our CG Dinner - this time Thai!",1274897979000,1277429400000,37.322568,-121.990253,"Blue Mango","San Jose"
"bbjxpypgbnc","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1304179200000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"cmjzwyplbkc","Saturday 9:30AM Game Almaden Valley (San Jose)",1311645753000,1314462600000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"12678751","Saturday 9 AM Game Almaden Valley (San Jose)",1266886989000,1.26729e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpypgbmb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1302364800000,37.219282,-121.880146,"Castillero Middle School","San Jose"
"bbjxpypcblb","Saturday 9:00AM Game Almaden Valley (San Jose)",1290890236000,1.294506e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynlbgc","6 PM Game Almaden Valley (San Jose)",1269652116000,1.282698e+12,37.219282,-121.880146,"Castillero Middle School","San Jose"
"dxkhnynmbkb","6 PM Game Almaden Valley (San Jose)",1269652116000,1283907600000,37.219282,-121.880146,"Castillero Middle School","San Jose"
